
@relation seraj
@attribute filename string
@attribute class  {kha, noon ,jeem ,zay,laa,alef,dha,wow,thaa,lam,raa,fa,ghain,sheen,dhad,saad,gaf,taO,AL,thal,meem,taa,tta,ain,haa,baa,yaa,dal,seen}
@data
kha(1).jpg,kha
kha(2).jpg,kha
kha(3).jpg,kha
kha(4).jpg,kha
kha(5).jpg,kha
kha(6).jpg,kha
kha(7).jpg,kha
kha(8).jpg,kha
kha(9).jpg,kha
kha(10).jpg,kha
kha(11).jpg,kha
kha(12).jpg,kha
kha(13).jpg,kha
kha(14).jpg,kha
kha(15).jpg,kha
kha(16).jpg,kha
kha(17).jpg,kha
kha(18).jpg,kha
kha(19).jpg,kha
kha(20).jpg,kha
kha(21).jpg,kha
kha(22).jpg,kha
kha(23).jpg,kha
kha(24).jpg,kha
kha(25).jpg,kha
kha(26).jpg,kha
kha(27).jpg,kha
kha(28).jpg,kha
kha(29).jpg,kha
kha(30).jpg,kha
noon(1).jpg,noon
noon(2).jpg,noon
noon(3).jpg,noon
noon(4).jpg,noon
noon(5).jpg,noon
noon(6).jpg,noon
noon(7).jpg,noon
noon(8).jpg,noon
noon(9).jpg,noon
noon(10).jpg,noon
noon(11).jpg,noon
noon(12).jpg,noon
noon(13).jpg,noon
noon(14).jpg,noon
noon(15).jpg,noon
noon(16).jpg,noon
noon(17).jpg,noon
noon(18).jpg,noon
noon(19).jpg,noon
noon(20).jpg,noon
noon(21).jpg,noon
noon(22).jpg,noon
noon(23).jpg,noon
noon(24).jpg,noon
noon(25).jpg,noon
noon(26).jpg,noon
noon(27).jpg,noon
noon(28).jpg,noon
noon(29).jpg,noon
noon(30).jpg,noon
jeem(1).jpg,jeem
jeem(2).jpg,jeem
jeem(3).jpg,jeem
jeem(4).jpg,jeem
jeem(5).jpg,jeem
jeem(6).jpg,jeem
jeem(7).jpg,jeem
jeem(8).jpg,jeem
jeem(9).jpg,jeem
jeem(10).jpg,jeem
jeem(11).jpg,jeem
jeem(12).jpg,jeem
jeem(13).jpg,jeem
jeem(14).jpg,jeem
jeem(15).jpg,jeem
jeem(16).jpg,jeem
jeem(17).jpg,jeem
jeem(18).jpg,jeem
jeem(19).jpg,jeem
jeem(20).jpg,jeem
jeem(21).jpg,jeem
jeem(22).jpg,jeem
jeem(23).jpg,jeem
jeem(24).jpg,jeem
jeem(25).jpg,jeem
jeem(26).jpg,jeem
jeem(27).jpg,jeem
jeem(28).jpg,jeem
jeem(29).jpg,jeem
jeem(30).jpg,jeem
zay(1).jpg,zay
zay(2).jpg,zay
zay(3).jpg,zay
zay(4).jpg,zay
zay(5).jpg,zay
zay(6).jpg,zay
zay(7).jpg,zay
zay(8).jpg,zay
zay(9).jpg,zay
zay(10).jpg,zay
zay(11).jpg,zay
zay(12).jpg,zay
zay(13).jpg,zay
zay(14).jpg,zay
zay(15).jpg,zay
zay(16).jpg,zay
zay(17).jpg,zay
zay(18).jpg,zay
zay(19).jpg,zay
zay(20).jpg,zay
zay(21).jpg,zay
zay(22).jpg,zay
zay(23).jpg,zay
zay(24).jpg,zay
zay(25).jpg,zay
zay(26).jpg,zay
zay(27).jpg,zay
zay(28).jpg,zay
